Guide ID	gene	P Rep #1	P Rep #2	P Rep #3	PCK Rep #1	PCK Rep #2	C Rep #1	C Rep #2	C Rep #3	T Rep #1	T Rep #2	T Rep #3
YALI1_A00014g_1	A00014g	218	126	190	440	376	377	447	377	189	244	141
YALI1_A00014g_2	A00014g	782	639	1459	1028	3247	5227	4595	4352	5126	3093	3068
YALI1_A00014g_3	A00014g	70	131	390	382	942	668	677	825	219	508	332
YALI1_A00014g_4	A00014g	276	556	388	1271	2931	201	142	122	89	128	220
YALI1_A00014g_5	A00014g	246	162	323	292	1022	71	132	89	51	7	98
YALI1_A00014g_6	A00014g	1335	1096	1162	5889	4692	8	2	0	26	0	0
YALI1_A00019g_1	A00019g	449	648	627	2359	2224	28	73	29	11	30	33
YALI1_A00019g_2	A00019g	562	1157	2525	3916	5720	96	191	119	225	118	139
YALI1_A00019g_3	A00019g	123	72	29	12	81	1038	894	958	805	317	656
YALI1_A00019g_4	A00019g	560	1154	2515	3901	5705	1915	1426	1452	482	522	648
YALI1_A00019g_5	A00019g	213	244	481	401	846	1834	1895	1857	1413	910	833
YALI1_A00019g_6	A00019g	56	111	100	161	592	628	616	481	50	41	78
YALI1_A00032g_1	A00032g	289	585	556	1008	1975	1296	1286	1405	513	434	446
YALI1_A00032g_2	A00032g	76	316	526	489	1214	0	0	0	0	0	0
YALI1_A00032g_3	A00032g	69	107	444	317	795	151	70	163	64	85	64
YALI1_A00032g_4	A00032g	911	743	1855	3230	4801	73	62	26	45	45	73
YALI1_A00032g_5	A00032g	685	1050	726	1393	3312	357	408	481	227	162	202
YALI1_A00032g_6	A00032g	77	106	157	905	593	1417	1966	1544	1736	1320	1440
YALI1_A00058g_1	A00058g	245	171	246	609	798	1394	1085	1394	563	539	796
YALI1_A00058g_2	A00058g	309	726	763	2624	2538	3799	3421	3591	4846	3081	3602
YALI1_A00058g_3	A00058g	588	859	994	2062	3304	2370	2643	2890	1482	1082	1234
YALI1_A00058g_4	A00058g	112	212	225	179	421	899	991	981	630	395	762
YALI1_A00058g_5	A00058g	132	539	337	669	1096	2654	2646	2468	1289	921	1074
YALI1_A00058g_6	A00058g	196	432	233	1377	1149	1417	1208	1257	900	740	1182
YALI1_A00102g_1	A00102g	553	677	1980	3	1	608	358	468	316	229	430
YALI1_A00102g_2	A00102g	117	172	195	1	0	1584	1566	1061	1102	477	631
YALI1_A00102g_3	A00102g	372	441	951	1	0	129	187	113	122	25	45
YALI1_A00102g_4	A00102g	509	375	478	1	2	2704	2626	2281	1819	1415	1448
YALI1_A00102g_5	A00102g	69	248	164	1	7	205	154	66	128	96	43
YALI1_A00102g_6	A00102g	109	447	383	0	0	785	486	643	359	437	485
YALI1_A00135g_1	A00135g	236	370	438	16	2	635	580	631	272	253	382
YALI1_A00135g_2	A00135g	46	18	48	4	11	835	1263	967	836	792	1011
YALI1_A00135g_3	A00135g	132	224	591	2	7	2496	2000	1891	646	612	580
YALI1_A00135g_4	A00135g	126	253	527	919	1163	562	474	449	496	274	324
YALI1_A00135g_5	A00135g	31	140	327	0	0	138	293	193	99	244	83
YALI1_A00135g_6	A00135g	37	150	132	211	126	303	457	386	137	167	62
YALI1_A00148g_1	A00148g	385	666	1200	0	0	46	38	39	16	40	17
YALI1_A00148g_2	A00148g	202	322	153	0	0	171	184	142	132	233	183
YALI1_A00148g_3	A00148g	62	128	33	0	0	378	316	273	266	213	165
YALI1_A00148g_4	A00148g	130	325	162	0	0	185	199	153	118	87	135
YALI1_A00148g_5	A00148g	158	113	404	1	3	422	392	251	172	123	181
YALI1_A00148g_6	A00148g	387	359	478	6	3	2450	2167	2145	2501	1325	1598
YALI1_A00204g_1	A00204g	58	98	103	0	0	1788	2003	1282	744	605	699
YALI1_A00204g_2	A00204g	155	72	213	0	0	23	18	28	21	10	10
YALI1_A00204g_3	A00204g	493	684	632	1	6	3169	2820	2528	1351	1102	1024
YALI1_A00204g_4	A00204g	810	1022	1447	357	175	460	517	494	115	75	126
YALI1_A00204g_5	A00204g	801	1010	1437	357	175	841	735	584	526	434	424
YALI1_A00204g_6	A00204g	208	168	339	0	1	552	609	393	526	395	664
YALI1_A00241g_1	A00241g	221	314	644	216	549	948	887	870	926	647	484
YALI1_A00241g_2	A00241g	131	112	735	0	3	1561	1206	1348	914	599	986
YALI1_A00241g_3	A00241g	283	348	369	0	0	205	186	251	87	112	171
YALI1_A00241g_4	A00241g	131	113	720	0	3	163	148	125	81	63	62
YALI1_A00241g_5	A00241g	505	390	800	96	49	125	44	83	85	27	42
YALI1_A00241g_6	A00241g	161	213	251	1	8	2557	2526	2205	1239	1297	1207
YALI1_A00252g_1	A00252g	180	146	483	18	196	21736	17926	19991	17510	13158	15016
YALI1_A00252g_2	A00252g	156	156	448	0	4	2776	2499	2055	1490	880	1176
YALI1_A00252g_3	A00252g	315	184	261	0	3	168	137	175	35	27	12
YALI1_A00252g_4	A00252g	287	192	497	0	1	1308	1162	1010	1036	416	691
YALI1_A00252g_5	A00252g	316	204	508	0	1	384	307	362	272	119	355
YALI1_A00252g_6	A00252g	331	526	819	486	856	998	869	721	602	236	682
YALI1_A00309g_1	A00309g	382	489	615	0	0	1130	1305	1529	1002	625	870
YALI1_A00309g_2	A00309g	96	26	105	0	0	2029	1816	1644	1039	1139	1231
YALI1_A00309g_3	A00309g	338	822	1164	0	0	248	280	274	109	49	68
YALI1_A00309g_4	A00309g	173	60	442	0	0	500	449	434	308	144	258
YALI1_A00309g_5	A00309g	81	256	331	2	0	562	311	411	322	192	92
YALI1_A00309g_6	A00309g	172	790	444	0	0	207	230	197	144	121	112
YALI1_A00325g_1	A00325g	206	212	448	1	4	247	334	259	67	91	43
YALI1_A00325g_2	A00325g	242	499	891	23	123	840	825	893	686	446	450
YALI1_A00325g_3	A00325g	145	264	669	237	669	827	683	685	454	569	609
YALI1_A00325g_4	A00325g	137	190	346	1	0	491	426	289	329	246	166
YALI1_A00325g_5	A00325g	364	501	632	0	5	224	224	172	227	203	146
YALI1_A00325g_6	A00325g	592	679	1163	0	1	537	566	601	602	392	552
YALI1_A00375g_1	A00375g	312	430	225	1	34	111	85	110	74	87	148
YALI1_A00375g_2	A00375g	321	304	403	0	114	2190	2389	1676	1131	1130	1481
YALI1_A00375g_3	A00375g	28	31	30	0	0	58	59	52	14	94	24
YALI1_A00375g_4	A00375g	13	49	200	0	0	1177	1533	1539	474	308	521
YALI1_A00375g_5	A00375g	296	240	362	0	0	208	337	394	295	97	138
YALI1_A00375g_6	A00375g	435	441	634	304	232	87	77	75	94	48	25
YALI1_A00406g_1	A00406g	265	548	969	95	217	0	0	0	0	0	0
YALI1_A00406g_2	A00406g	428	792	1252	0	1	0	0	0	0	0	0
YALI1_A00406g_3	A00406g	311	365	762	1	2	2203	2008	1973	1401	1026	1241
YALI1_A00406g_4	A00406g	651	518	766	0	0	238	236	203	134	383	118
YALI1_A00406g_5	A00406g	168	160	139	0	0	494	511	500	116	115	172
YALI1_A00406g_6	A00406g	244	237	274	0	0	1406	1341	1292	1336	1182	1288
YALI1_A00447g_1	A00447g	209	422	647	178	104	461	301	378	93	75	101
YALI1_A00447g_2	A00447g	50	280	234	1	0	1515	910	955	766	692	617
YALI1_A00447g_4	A00447g	98	194	299	2	0	2117	1254	1467	1372	801	949
YALI1_A00447g_5	A00447g	130	91	313	29	297	692	614	753	420	175	342
YALI1_A00447g_6	A00447g	229	410	521	0	3	582	544	515	409	266	231
YALI1_A00468g_1	A00468g	172	634	692	121	134	52	48	119	53	39	30
YALI1_A00468g_2	A00468g	730	417	782	83	194	1619	1264	1261	1361	694	998
YALI1_A00468g_3	A00468g	92	21	156	0	2	0	0	3	0	0	0
YALI1_A00468g_4	A00468g	734	418	789	83	194	79	42	39	46	9	53
YALI1_A00468g_5	A00468g	254	568	872	3	30	568	512	580	588	320	546
YALI1_A00468g_6	A00468g	271	59	153	262	93	479	376	428	348	267	222
YALI1_A00504g_1	A00504g	426	185	461	130	79	0	0	0	0	0	0
YALI1_A00504g_2	A00504g	173	127	256	0	0	302	451	377	351	212	326
YALI1_A00504g_3	A00504g	288	345	800	1	3	580	623	606	180	243	210
YALI1_A00504g_4	A00504g	40	154	323	193	438	714	636	501	243	268	192
YALI1_A00504g_5	A00504g	66	69	65	0	2	223	179	144	78	72	131
YALI1_A00504g_6	A00504g	26	1	279	0	4	2386	2084	2551	2050	1271	1371
YALI1_A00538g_1	A00538g	32	182	328	0	0	883	842	814	694	649	605
YALI1_A00538g_2	A00538g	150	201	464	1	5	757	585	622	328	233	90
YALI1_A00538g_3	A00538g	484	415	1198	1	0	76	36	24	16	27	28
YALI1_A00538g_4	A00538g	272	303	1323	0	0	0	0	0	0	0	0
YALI1_A00538g_5	A00538g	86	43	117	0	4	1047	549	721	708	288	654
YALI1_A00538g_6	A00538g	105	101	562	4	13	49	31	34	31	82	29
YALI1_A00558g_1	A00558g	409	488	528	0	1	1086	670	957	460	425	660
YALI1_A00558g_2	A00558g	114	343	319	0	0	326	362	386	208	189	215
YALI1_A00558g_3	A00558g	230	151	202	133	3	1560	1240	1308	707	382	558
YALI1_A00558g_4	A00558g	91	453	544	1	0	179	183	128	71	82	90
YALI1_A00558g_5	A00558g	46	112	121	0	0	351	407	357	188	182	465
YALI1_A00558g_6	A00558g	500	618	628	412	791	2169	1495	1380	523	812	812
YALI1_A00574g_1	A00574g	299	166	717	0	1	368	385	482	194	168	209
YALI1_A00574g_2	A00574g	156	224	567	0	1	880	836	627	388	194	254
YALI1_A00574g_3	A00574g	96	169	571	0	0	717	646	682	633	310	261
YALI1_A00574g_4	A00574g	174	494	541	15	18	225	112	233	152	61	119
YALI1_A00574g_5	A00574g	822	981	1390	0	30	2018	1719	1778	1076	850	1108
YALI1_A00574g_6	A00574g	106	260	371	32	149	155	100	147	133	146	169
