Guide ID	gene	P Rep #1	P Rep #2	P Rep #3	PCK Rep #1	PCK Rep #2	C Rep #1	C Rep #2	C Rep #3	T Rep #1	T Rep #2	T Rep #3
YALI1_A00014g_1	A00014g	218	126	190	440	376	377	447	377	473	531	257
YALI1_A00014g_2	A00014g	782	639	1459	1028	3247	5227	4595	4352	2612	2244	2039
YALI1_A00014g_3	A00014g	70	131	390	382	942	668	677	825	168	117	97
YALI1_A00014g_4	A00014g	276	556	388	1271	2931	201	142	122	488	851	530
YALI1_A00014g_5	A00014g	246	162	323	292	1022	71	132	89	287	217	163
YALI1_A00014g_6	A00014g	1335	1096	1162	5889	4692	8	2	0	82	175	149
YALI1_A00019g_1	A00019g	449	648	627	2359	2224	28	73	29	0	0	2
YALI1_A00019g_2	A00019g	562	1157	2525	3916	5720	96	191	119	449	277	174
YALI1_A00019g_3	A00019g	123	72	29	12	81	1038	894	958	157	272	200
YALI1_A00019g_4	A00019g	560	1154	2515	3901	5705	1915	1426	1452	998	988	921
YALI1_A00019g_5	A00019g	213	244	481	401	846	1834	1895	1857	194	157	204
YALI1_A00019g_6	A00019g	56	111	100	161	592	628	616	481	118	219	180
YALI1_A00032g_1	A00032g	289	585	556	1008	1975	1296	1286	1405	694	511	407
YALI1_A00032g_2	A00032g	76	316	526	489	1214	0	0	0	5	0	0
YALI1_A00032g_3	A00032g	69	107	444	317	795	151	70	163	555	366	418
YALI1_A00032g_4	A00032g	911	743	1855	3230	4801	73	62	26	19	12	59
YALI1_A00032g_5	A00032g	685	1050	726	1393	3312	357	408	481	222	271	224
YALI1_A00032g_6	A00032g	77	106	157	905	593	1417	1966	1544	622	662	483
YALI1_A00058g_1	A00058g	245	171	246	609	798	1394	1085	1394	327	252	199
YALI1_A00058g_2	A00058g	309	726	763	2624	2538	3799	3421	3591	2834	1995	2430
YALI1_A00058g_3	A00058g	588	859	994	2062	3304	2370	2643	2890	1534	1325	1310
YALI1_A00058g_4	A00058g	112	212	225	179	421	899	991	981	833	692	688
YALI1_A00058g_5	A00058g	132	539	337	669	1096	2654	2646	2468	1774	1655	1682
YALI1_A00058g_6	A00058g	196	432	233	1377	1149	1417	1208	1257	1129	964	975
YALI1_A00102g_1	A00102g	553	677	1980	3	1	608	358	468	711	637	643
YALI1_A00102g_2	A00102g	117	172	195	1	0	1584	1566	1061	2292	2592	2105
YALI1_A00102g_3	A00102g	372	441	951	1	0	129	187	113	899	579	784
YALI1_A00102g_4	A00102g	509	375	478	1	2	2704	2626	2281	1721	1316	1258
YALI1_A00102g_5	A00102g	69	248	164	1	7	205	154	66	232	259	187
YALI1_A00102g_6	A00102g	109	447	383	0	0	785	486	643	586	652	549
YALI1_A00135g_1	A00135g	236	370	438	16	2	635	580	631	423	359	400
YALI1_A00135g_2	A00135g	46	18	48	4	11	835	1263	967	298	239	321
YALI1_A00135g_3	A00135g	132	224	591	2	7	2496	2000	1891	828	681	649
YALI1_A00135g_4	A00135g	126	253	527	919	1163	562	474	449	330	223	252
YALI1_A00135g_5	A00135g	31	140	327	0	0	138	293	193	194	217	174
YALI1_A00135g_6	A00135g	37	150	132	211	126	303	457	386	400	475	341
YALI1_A00148g_1	A00148g	385	666	1200	0	0	46	38	39	640	612	368
YALI1_A00148g_2	A00148g	202	322	153	0	0	171	184	142	125	121	66
YALI1_A00148g_3	A00148g	62	128	33	0	0	378	316	273	238	123	186
YALI1_A00148g_4	A00148g	130	325	162	0	0	185	199	153	72	19	38
YALI1_A00148g_5	A00148g	158	113	404	1	3	422	392	251	136	123	125
YALI1_A00148g_6	A00148g	387	359	478	6	3	2450	2167	2145	1590	1798	1378
YALI1_A00204g_1	A00204g	58	98	103	0	0	1788	2003	1282	1173	1232	913
YALI1_A00204g_2	A00204g	155	72	213	0	0	23	18	28	14	26	26
YALI1_A00204g_3	A00204g	493	684	632	1	6	3169	2820	2528	551	619	544
YALI1_A00204g_4	A00204g	810	1022	1447	357	175	460	517	494	533	709	557
YALI1_A00204g_5	A00204g	801	1010	1437	357	175	841	735	584	501	675	599
YALI1_A00204g_6	A00204g	208	168	339	0	1	552	609	393	253	326	279
YALI1_A00241g_1	A00241g	221	314	644	216	549	948	887	870	537	422	464
YALI1_A00241g_2	A00241g	131	112	735	0	3	1561	1206	1348	407	604	652
YALI1_A00241g_3	A00241g	283	348	369	0	0	205	186	251	11	165	40
YALI1_A00241g_4	A00241g	131	113	720	0	3	163	148	125	74	38	48
YALI1_A00241g_5	A00241g	505	390	800	96	49	125	44	83	121	79	104
YALI1_A00241g_6	A00241g	161	213	251	1	8	2557	2526	2205	1659	1524	1380
YALI1_A00252g_1	A00252g	180	146	483	18	196	21736	17926	19991	7817	8703	8024
YALI1_A00252g_2	A00252g	156	156	448	0	4	2776	2499	2055	358	427	497
YALI1_A00252g_3	A00252g	315	184	261	0	3	168	137	175	107	149	171
YALI1_A00252g_4	A00252g	287	192	497	0	1	1308	1162	1010	376	367	341
YALI1_A00252g_5	A00252g	316	204	508	0	1	384	307	362	320	338	309
YALI1_A00252g_6	A00252g	331	526	819	486	856	998	869	721	994	1001	713
YALI1_A00309g_1	A00309g	382	489	615	0	0	1130	1305	1529	169	332	215
YALI1_A00309g_2	A00309g	96	26	105	0	0	2029	1816	1644	642	548	548
YALI1_A00309g_3	A00309g	338	822	1164	0	0	248	280	274	92	78	92
YALI1_A00309g_4	A00309g	173	60	442	0	0	500	449	434	519	415	400
YALI1_A00309g_5	A00309g	81	256	331	2	0	562	311	411	254	163	218
YALI1_A00309g_6	A00309g	172	790	444	0	0	207	230	197	73	67	108
YALI1_A00325g_1	A00325g	206	212	448	1	4	247	334	259	205	142	223
YALI1_A00325g_2	A00325g	242	499	891	23	123	840	825	893	346	415	325
YALI1_A00325g_3	A00325g	145	264	669	237	669	827	683	685	1995	2347	1911
YALI1_A00325g_4	A00325g	137	190	346	1	0	491	426	289	195	274	228
YALI1_A00325g_5	A00325g	364	501	632	0	5	224	224	172	84	68	102
YALI1_A00325g_6	A00325g	592	679	1163	0	1	537	566	601	1669	1451	1500
YALI1_A00375g_1	A00375g	312	430	225	1	34	111	85	110	0	47	5
YALI1_A00375g_2	A00375g	321	304	403	0	114	2190	2389	1676	856	709	576
YALI1_A00375g_3	A00375g	28	31	30	0	0	58	59	52	10	47	48
YALI1_A00375g_4	A00375g	13	49	200	0	0	1177	1533	1539	249	175	203
YALI1_A00375g_5	A00375g	296	240	362	0	0	208	337	394	1660	2105	1483
YALI1_A00375g_6	A00375g	435	441	634	304	232	87	77	75	732	620	620
YALI1_A00406g_1	A00406g	265	548	969	95	217	0	0	0	2	19	6
YALI1_A00406g_2	A00406g	428	792	1252	0	1	0	0	0	0	0	0
YALI1_A00406g_3	A00406g	311	365	762	1	2	2203	2008	1973	2006	1827	1881
YALI1_A00406g_4	A00406g	651	518	766	0	0	238	236	203	492	524	361
YALI1_A00406g_5	A00406g	168	160	139	0	0	494	511	500	425	302	324
YALI1_A00406g_6	A00406g	244	237	274	0	0	1406	1341	1292	535	719	677
YALI1_A00447g_1	A00447g	209	422	647	178	104	461	301	378	185	163	131
YALI1_A00447g_2	A00447g	50	280	234	1	0	1515	910	955	999	1434	971
YALI1_A00447g_4	A00447g	98	194	299	2	0	2117	1254	1467	224	145	167
YALI1_A00447g_5	A00447g	130	91	313	29	297	692	614	753	1492	862	648
YALI1_A00447g_6	A00447g	229	410	521	0	3	582	544	515	1250	1108	1091
YALI1_A00468g_1	A00468g	172	634	692	121	134	52	48	119	119	50	36
YALI1_A00468g_2	A00468g	730	417	782	83	194	1619	1264	1261	738	605	469
YALI1_A00468g_3	A00468g	92	21	156	0	2	0	0	3	6	8	4
YALI1_A00468g_4	A00468g	734	418	789	83	194	79	42	39	169	139	111
YALI1_A00468g_5	A00468g	254	568	872	3	30	568	512	580	461	533	443
YALI1_A00468g_6	A00468g	271	59	153	262	93	479	376	428	237	416	316
YALI1_A00504g_1	A00504g	426	185	461	130	79	0	0	0	17	124	90
YALI1_A00504g_2	A00504g	173	127	256	0	0	302	451	377	290	171	156
YALI1_A00504g_3	A00504g	288	345	800	1	3	580	623	606	1025	637	1059
YALI1_A00504g_4	A00504g	40	154	323	193	438	714	636	501	352	479	296
YALI1_A00504g_5	A00504g	66	69	65	0	2	223	179	144	186	299	268
YALI1_A00504g_6	A00504g	26	1	279	0	4	2386	2084	2551	1644	1775	1494
YALI1_A00538g_1	A00538g	32	182	328	0	0	883	842	814	422	428	354
YALI1_A00538g_2	A00538g	150	201	464	1	5	757	585	622	279	448	433
YALI1_A00538g_3	A00538g	484	415	1198	1	0	76	36	24	126	88	127
YALI1_A00538g_4	A00538g	272	303	1323	0	0	0	0	0	19	42	8
YALI1_A00538g_5	A00538g	86	43	117	0	4	1047	549	721	690	574	632
YALI1_A00538g_6	A00538g	105	101	562	4	13	49	31	34	5	18	9
YALI1_A00558g_1	A00558g	409	488	528	0	1	1086	670	957	776	972	707
YALI1_A00558g_2	A00558g	114	343	319	0	0	326	362	386	171	184	192
YALI1_A00558g_3	A00558g	230	151	202	133	3	1560	1240	1308	561	487	411
YALI1_A00558g_4	A00558g	91	453	544	1	0	179	183	128	161	176	242
YALI1_A00558g_5	A00558g	46	112	121	0	0	351	407	357	325	346	248
YALI1_A00558g_6	A00558g	500	618	628	412	791	2169	1495	1380	315	275	267
YALI1_A00574g_1	A00574g	299	166	717	0	1	368	385	482	679	634	589
YALI1_A00574g_2	A00574g	156	224	567	0	1	880	836	627	643	515	413
YALI1_A00574g_3	A00574g	96	169	571	0	0	717	646	682	339	269	251
YALI1_A00574g_4	A00574g	174	494	541	15	18	225	112	233	183	114	105
YALI1_A00574g_5	A00574g	822	981	1390	0	30	2018	1719	1778	1653	1744	1735
YALI1_A00574g_6	A00574g	106	260	371	32	149	155	100	147	194	169	115
YALI1_A00601g_1	A00601g	119	178	205	1	3	212	116	109	2	5	11
YALI1_A00601g_2	A00601g	232	192	173	0	0	1132	568	772	73	57	43
YALI1_A00601g_3	A00601g	346	355	766	167	406	2362	2269	2734	950	873	687
YALI1_A00601g_4	A00601g	160	168	269	19	28	1570	1698	1460	1276	1070	719
YALI1_A00601g_5	A00601g	60	306	166	2	1	19	29	17	47	20	50
YALI1_A00601g_6	A00601g	56	290	442	230	469	123	60	157	125	101	116
YALI1_A00661g_1	A00661g	353	378	550	2	6	462	631	389	38	49	57
YALI1_A00661g_2	A00661g	533	383	697	0	0	123	74	51	0	0	0
YALI1_A00661g_3	A00661g	240	381	658	0	10	387	355	290	104	152	129
YALI1_A00661g_4	A00661g	179	211	253	0	0	240	305	214	34	42	27
YALI1_A00661g_5	A00661g	24	101	172	14	0	905	917	1718	326	349	246
YALI1_A00661g_6	A00661g	95	232	136	4	15	395	467	356	710	553	510
YALI1_A00683g_1	A00683g	255	500	1163	161	311	2278	2304	2889	1146	1564	1680
YALI1_A00683g_2	A00683g	36	137	99	690	179	165	92	203	112	134	167
YALI1_A00683g_3	A00683g	268	639	1383	3	1	600	496	432	1595	1654	1344
YALI1_A00683g_4	A00683g	145	298	474	94	86	243	276	410	105	89	157
YALI1_A00683g_5	A00683g	388	345	706	1	0	0	0	0	38	89	40
YALI1_A00683g_6	A00683g	313	240	468	0	0	4102	4108	3686	3139	3134	2979
YALI1_A00715g_1	A00715g	381	160	383	1	21	1110	1593	1273	409	448	241
YALI1_A00715g_2	A00715g	202	348	393	49	27	0	0	0	0	0	0
YALI1_A00715g_3	A00715g	132	449	431	0	0	836	699	762	106	52	72
YALI1_A00715g_4	A00715g	4	16	275	0	0	183	179	170	33	24	39
YALI1_A00715g_5	A00715g	382	161	385	1	21	0	0	0	140	116	62
YALI1_A00715g_6	A00715g	44	189	347	12	70	510	770	507	1513	1639	1157
YALI1_A00746g_1	A00746g	209	162	383	0	5	3602	3412	3368	1378	1172	852
YALI1_A00746g_2	A00746g	213	420	615	0	10	1249	1145	1181	2019	2858	2044
YALI1_A00746g_3	A00746g	26	136	142	0	18	200	112	183	162	100	97
YALI1_A00746g_4	A00746g	63	87	292	13	122	210	254	259	1177	892	837
YALI1_A00746g_5	A00746g	66	20	90	0	0	1027	1079	943	830	865	701
YALI1_A00746g_6	A00746g	113	230	353	145	136	265	194	180	214	219	214
YALI1_A00789g_1	A00789g	272	166	164	44	45	65	122	81	20	6	23
YALI1_A00789g_2	A00789g	282	219	428	1	0	758	612	540	844	692	686
YALI1_A00789g_3	A00789g	69	192	251	0	0	2033	1295	1719	1127	1283	1238
YALI1_A00789g_4	A00789g	197	323	638	0	0	177	151	127	683	1100	1141
YALI1_A00789g_5	A00789g	223	245	572	73	97	2465	2402	2312	1342	913	940
YALI1_A00789g_6	A00789g	260	240	377	28	19	1253	1019	1187	142	207	267
YALI1_A00801g_1	A00801g	239	215	212	28	16	0	0	0	58	55	22
YALI1_A00801g_2	A00801g	925	1117	2303	287	234	282	263	395	158	97	109
YALI1_A00801g_3	A00801g	283	184	499	77	157	312	162	300	118	106	105
YALI1_A00801g_4	A00801g	91	189	356	0	0	217	206	160	105	64	51
YALI1_A00801g_5	A00801g	358	178	727	1	3	20	48	5	61	53	20
YALI1_A00801g_6	A00801g	173	372	389	21	5	151	22	8	60	37	17
YALI1_A00829g_1	A00829g	374	182	223	0	0	938	828	861	166	106	119
YALI1_A00829g_2	A00829g	200	531	653	420	266	584	475	459	588	553	498
YALI1_A00829g_3	A00829g	262	460	619	1	0	231	322	244	839	762	777
YALI1_A00829g_4	A00829g	375	376	689	0	0	935	984	826	387	496	537
YALI1_A00829g_5	A00829g	79	100	182	23	1	1239	1550	1039	641	938	640
YALI1_A00829g_6	A00829g	542	668	1077	24	56	140	98	109	298	206	137
YALI1_A00867g_1	A00867g	251	432	367	90	525	0	0	0	0	0	0
YALI1_A00867g_2	A00867g	246	229	346	21	0	461	305	286	218	199	255
YALI1_A00867g_3	A00867g	149	80	322	68	15	200	188	78	70	101	48
YALI1_A00867g_4	A00867g	194	121	367	0	0	664	884	713	1324	1129	1260
YALI1_A00867g_5	A00867g	612	857	1058	0	5	402	398	346	353	397	339
YALI1_A00867g_6	A00867g	255	282	477	0	0	205	196	272	484	421	502
YALI1_A00905g_1	A00905g	354	507	679	2	0	1214	879	1154	103	102	121
YALI1_A00905g_2	A00905g	191	65	287	0	37	982	767	684	191	265	224
YALI1_A00905g_3	A00905g	25	67	297	0	0	4132	3758	3351	3257	2785	2566
YALI1_A00905g_4	A00905g	651	189	544	104	140	9695	7605	7667	2693	2308	2144
YALI1_A00905g_5	A00905g	786	657	1318	2	4	4223	3921	4562	600	497	414
YALI1_A00905g_6	A00905g	370	559	493	152	240	170	134	112	90	62	71
YALI1_A00911g_1	A00911g	106	348	375	130	166	501	470	455	514	395	528
YALI1_A00911g_2	A00911g	170	294	367	50	71	871	733	806	333	267	289
YALI1_A00911g_3	A00911g	203	198	375	0	0	11	13	27	0	0	0
YALI1_A00911g_4	A00911g	257	533	151	45	8	121	161	141	45	55	50
YALI1_A00911g_5	A00911g	282	123	312	0	0	18	20	33	87	58	71
YALI1_A00911g_6	A00911g	538	663	580	0	3	71	63	113	20	70	20
YALI1_A00947g_1	A00947g	294	507	784	0	0	112	158	100	0	0	0
YALI1_A00947g_2	A00947g	101	148	157	737	463	195	190	186	90	186	116
YALI1_A00947g_3	A00947g	624	1232	1396	225	449	813	883	964	1309	995	1086
YALI1_A00947g_4	A00947g	79	0	243	0	0	639	327	487	91	104	148
YALI1_A00947g_5	A00947g	13	4	151	0	0	0	1	0	0	0	0
YALI1_A00947g_6	A00947g	103	123	185	4	8	340	200	291	194	175	102
YALI1_A00983g_1	A00983g	113	136	370	252	378	5117	5486	5149	2159	1403	1932
YALI1_A00983g_2	A00983g	994	549	1125	790	1220	813	880	816	352	248	281
YALI1_A00983g_3	A00983g	71	167	81	5	0	382	483	470	660	541	584
YALI1_A00983g_4	A00983g	166	120	538	0	1	1071	932	1192	294	387	404
YALI1_A00983g_5	A00983g	374	468	1173	129	290	659	487	650	316	329	393
YALI1_A00983g_6	A00983g	44	84	113	0	0	0	0	0	0	0	0
YALI1_A01061g_1	A01061g	115	126	205	38	309	550	458	640	703	519	551
YALI1_A01061g_2	A01061g	44	260	147	0	0	376	424	408	323	274	413
YALI1_A01061g_3	A01061g	19	2	49	0	0	2755	2347	2217	212	349	276
YALI1_A01061g_4	A01061g	48	15	51	0	0	1844	2124	1410	1118	921	686
YALI1_A01061g_5	A01061g	25	129	44	56	128	215	178	112	175	107	150
YALI1_A01061g_6	A01061g	892	585	1063	2	0	1021	1097	987	269	299	403
YALI1_A01074g_1	A01074g	384	435	1424	57	93	1441	1166	1357	1044	1139	1048
YALI1_A01074g_2	A01074g	225	257	387	2	0	0	0	0	0	0	0
YALI1_A01074g_3	A01074g	115	103	276	0	0	341	279	268	181	201	163
YALI1_A01074g_4	A01074g	377	463	650	0	0	0	13	0	85	136	25
YALI1_A01074g_5	A01074g	112	352	487	57	398	2615	2225	1803	419	359	477
YALI1_A01074g_6	A01074g	199	427	627	249	731	753	477	703	437	573	646
YALI1_A01093g_1	A01093g	102	182	395	0	0	414	417	582	76	76	84
YALI1_A01093g_2	A01093g	1050	2362	3031	998	880	1152	1241	1166	968	749	804
YALI1_A01093g_3	A01093g	431	719	917	2	2	520	362	440	508	527	612
YALI1_A01093g_4	A01093g	709	828	1745	1	0	806	602	805	136	163	167
YALI1_A01093g_5	A01093g	257	431	642	0	0	1341	1309	1081	491	369	417
YALI1_A01093g_6	A01093g	121	398	330	0	0	142	131	88	141	171	192
YALI1_A01122g_1	A01122g	91	252	161	0	0	2526	2049	2625	4711	4816	4084
YALI1_A01122g_2	A01122g	456	405	783	957	107	1946	1431	1295	968	1020	1051
YALI1_A01122g_3	A01122g	251	163	418	3	0	313	487	343	237	214	149
YALI1_A01122g_4	A01122g	672	702	665	194	952	878	824	1126	855	1028	709
YALI1_A01122g_5	A01122g	49	207	255	0	9	1299	1220	1180	206	199	253
YALI1_A01122g_6	A01122g	627	815	1449	2	0	89	63	31	17	14	6
YALI1_A01143g_1	A01143g	424	294	498	0	1	68	73	66	385	536	669
YALI1_A01143g_2	A01143g	135	30	36	3	18	140	121	79	21	43	69
YALI1_A01143g_3	A01143g	151	344	895	0	0	2349	2214	2269	396	328	347
YALI1_A01143g_4	A01143g	185	220	140	1	2	594	770	619	377	385	341
YALI1_A01143g_5	A01143g	91	171	500	28	24	2506	1572	2216	612	800	521
YALI1_A01143g_6	A01143g	618	646	1399	128	384	2111	1307	870	13	60	62
YALI1_A01173g_1	A01173g	221	346	677	1	0	12	25	20	65	19	75
YALI1_A01173g_2	A01173g	88	178	171	18	290	185	116	139	605	303	337
YALI1_A01173g_3	A01173g	266	292	282	22	20	240	135	239	52	25	33
YALI1_A01173g_4	A01173g	177	176	569	151	368	552	632	594	317	274	213
YALI1_A01173g_5	A01173g	48	171	125	19	283	12	14	4	62	54	104
YALI1_A01173g_6	A01173g	112	137	364	0	0	3015	2442	3016	31	62	53
YALI1_A01198g_1	A01198g	150	183	360	21	46	190	146	166	167	227	107
YALI1_A01198g_2	A01198g	417	286	656	33	40	1172	788	834	389	339	376
YALI1_A01198g_3	A01198g	237	436	733	0	1	0	0	0	17	26	27
YALI1_A01198g_4	A01198g	311	264	258	148	260	105	60	69	83	112	78
YALI1_A01198g_5	A01198g	137	52	495	0	0	3150	2989	3743	1084	909	864
YALI1_A01198g_6	A01198g	392	278	717	76	249	522	345	442	171	163	175
YALI1_A01230g_1	A01230g	611	661	1381	3	9	290	305	288	15	12	33
YALI1_A01230g_2	A01230g	155	268	390	120	212	821	918	1005	429	461	301
YALI1_A01230g_3	A01230g	243	175	658	1	0	87	52	76	301	268	197
YALI1_A01230g_4	A01230g	293	289	321	32	98	98	37	147	177	84	125
YALI1_A01230g_5	A01230g	251	184	305	0	0	1205	907	954	667	828	510
YALI1_A01230g_6	A01230g	280	516	370	239	504	96	63	130	307	349	298
YALI1_A01240g_1	A01240g	234	128	165	32	126	239	87	53	42	52	34
YALI1_A01240g_2	A01240g	320	270	892	1	0	828	633	663	856	632	963
YALI1_A01240g_3	A01240g	133	287	412	0	0	943	760	755	795	754	822
YALI1_A01240g_4	A01240g	403	598	935	1	0	433	249	323	699	509	553
YALI1_A01240g_5	A01240g	399	596	927	1	0	440	406	453	200	263	256
YALI1_A01240g_6	A01240g	382	442	650	19	58	113	266	103	369	414	426
YALI1_A01241g_1	A01241g	142	492	951	244	396	275	423	219	124	52	81
YALI1_A01241g_2	A01241g	190	575	359	2	0	19	18	10	212	160	106
YALI1_A01241g_3	A01241g	231	34	38	0	0	152	183	352	15	23	26
YALI1_A01241g_4	A01241g	249	569	381	1	0	528	491	580	767	661	541
YALI1_A01241g_5	A01241g	385	206	743	0	0	977	1181	1023	282	363	242
YALI1_A01241g_6	A01241g	244	297	369	2	0	99	119	114	193	150	114
YALI1_A01249g_1	A01249g	506	756	1192	3	0	0	1	2	5	0	0
YALI1_A01249g_2	A01249g	371	565	672	22	149	478	348	320	603	497	652
YALI1_A01249g_3	A01249g	16	56	103	16	0	1767	1736	1683	1016	1036	1046
YALI1_A01249g_5	A01249g	704	740	1039	0	3	55	27	34	79	114	61
YALI1_A01249g_6	A01249g	342	371	362	59	99	6	6	6	6	9	19
YALI1_A01260g_1	A01260g	378	575	445	36	21	560	914	557	675	621	762
YALI1_A01260g_2	A01260g	56	154	429	0	0	19	26	14	15	8	18
YALI1_A01260g_3	A01260g	40	79	336	1	0	358	239	301	41	114	66
YALI1_A01260g_4	A01260g	32	231	101	0	0	307	243	227	772	750	764
YALI1_A01260g_5	A01260g	167	108	387	0	0	0	0	0	0	7	20
YALI1_A01260g_6	A01260g	193	196	634	15	26	3	21	16	69	96	117
YALI1_A01267g_1	A01267g	267	313	1246	0	0	764	750	632	724	578	428
YALI1_A01267g_2	A01267g	215	430	525	0	0	0	0	0	15	1	29
YALI1_A01267g_3	A01267g	34	87	158	0	0	595	545	552	92	106	190
YALI1_A01267g_4	A01267g	25	151	210	0	0	494	370	591	426	324	334
YALI1_A01267g_5	A01267g	247	219	955	1	43	238	234	175	2177	2512	1932
