Guide ID	gene	CS	FS
YALI1_A00014g_1	A00014g	-2.848403312180684	0.6265190747373606
YALI1_A00014g_2	A00014g	-2.7299692468330488	-0.46378702263722443
YALI1_A00014g_3	A00014g	-3.5174638025241243	-1.9334230233065415
YALI1_A00014g_4	A00014g	-3.899903270861403	2.5838198333404256
YALI1_A00014g_5	A00014g	-2.9255217389400467	1.7323337703023372
YALI1_A00014g_6	A00014g	-3.806301995670008	5.604230590938047
YALI1_A00019g_1	A00019g	-3.6931073181723932	-4.148249930285216
YALI1_A00019g_2	A00019g	-3.58167362988204	1.6830763566984743
YALI1_A00019g_3	A00019g	-0.5199454832301071	-1.6153338229047982
YALI1_A00019g_4	A00019g	-3.5819068022208467	-0.13761565245745994
YALI1_A00019g_5	A00019g	-2.6537356510125933	-2.745464641007704
YALI1_A00019g_6	A00019g	-3.5708506785733696	-1.1510399353459848
YALI1_A00032g_1	A00032g	-3.253437037959921	-0.7400760813201849
YALI1_A00032g_2	A00032g	-3.206150151225016	1.9612505225206964
YALI1_A00032g_3	A00032g	-3.2357292069665466	2.379936105111039
YALI1_A00032g_4	A00032g	-3.494827136033131	-0.1936803107738031
YALI1_A00032g_5	A00032g	-3.0152018934683276	-0.22614777727896357
YALI1_A00032g_6	A00032g	-4.542006140919061	-0.9173247333667514
YALI1_A00058g_1	A00058g	-3.27323423039238	-1.7399274560815687
YALI1_A00058g_2	A00058g	-3.8694677136826527	0.003733755092735442
YALI1_A00058g_3	A00058g	-3.3595310675187116	-0.3529308170379791
YALI1_A00058g_4	A00058g	-2.3013719400314017	0.19477138801760682
YALI1_A00058g_5	A00058g	-3.0273925481035415	-0.02775978734565569
YALI1_A00058g_6	A00058g	-3.814968184719757	0.239131689286476
YALI1_A00102g_1	A00102g	6.49192252803493	1.0613002397886584
YALI1_A00102g_2	A00102g	4.928560004984391	1.3060986396904979
YALI1_A00102g_3	A00102g	6.694526697669994	2.9588383368963136
YALI1_A00102g_4	A00102g	5.939036931548388	-0.25256841545424985
YALI1_A00102g_5	A00102g	3.5142199624121293	1.2553702468287522
YALI1_A00102g_6	A00102g	6.522905335516317	0.48653013645981597
YALI1_A00135g_1	A00135g	3.167072200749785	-0.0636086364124582
YALI1_A00135g_2	A00135g	0.655248507617557	-1.2633000249315955
YALI1_A00135g_3	A00135g	4.118061341934464	-0.9850026763911602
YALI1_A00135g_4	A00135g	-3.6095057582709105	-0.30245393065957027
YALI1_A00135g_5	A00135g	5.432820591966234	0.46026849266899933
YALI1_A00135g_6	A00135g	-2.5177439560152126	0.644281439324957
YALI1_A00148g_1	A00148g	7.728361100705196	4.2556405425555095
YALI1_A00148g_2	A00148g	6.223944114123495	-0.10591951063527129
YALI1_A00148g_3	A00148g	4.667366362938946	-0.23612582063975715
YALI1_A00148g_4	A00148g	6.038952549873284	-1.463995794839433
YALI1_A00148g_5	A00148g	4.517166754596095	-0.8839036784047258
YALI1_A00148g_6	A00148g	4.4422654445275755	0.07031697190512994
YALI1_A00204g_1	A00204g	4.726413452264968	-0.04361221300364732
YALI1_A00204g_2	A00204g	5.484635322060651	0.5256561508781304
YALI1_A00204g_3	A00204g	5.59772582892207	-1.732121741199133
YALI1_A00204g_4	A00204g	0.18255459488088205	0.8602771198106468
YALI1_A00204g_5	A00204g	0.16804094688078638	0.3005057978781157
YALI1_A00204g_6	A00204g	5.697708608702578	-0.27922598036597973
YALI1_A00241g_1	A00241g	-1.6285155917069736	-0.3485100804715958
