gene	FS_gene
E20279g	-1.650174743449319
B03288g	-1.0515979114266956
E09269g	-0.7240737178591139
E34028g	-1.9530622226841916
A00558g	-1.0756207086291587
E33599g	-1.380089760127238
B19602g	-0.8380687403204558
B26430g	-1.5104033592763997
C29595g	-0.8044573472186444
D29728g	-0.5690983955504445
C11271g	-0.7321881622763676
F33881g	-0.753155692717989
D15792g	0.06635594539595738
F09314g	-1.7778707727817142
C09343g	-1.2849804862007286
F28146g	-3.121988105646553
E28259g	-1.171586586632111
F16035g	-2.1234465048788835
F05205g	-2.912175815162452
F27798g	-0.6764102688657225
F36290g	-0.49366015321561924
E19757g	-0.4867420671731996
C10718g	-1.0469173544075854
F15533g	-0.8097470024435226
A14882g	-1.2594788324988972
C11501g	-0.9305618015124414
C03495g	-0.23180233172080308
C19833g	-0.5359431409771179
E25317g	-1.7943258779588958
A05795g	-0.8355296531500841
E36079g	-0.796818669049394
C19123g	-0.4828499224122982
E29197g	-1.07046238988878
B00611g	1.4124138559432196
E04790g	-2.200127306140639
F14805g	-1.3531762328465873
E14535g	-0.577700542913141
A12437g	-1.043426801109608
F18920g	-0.36637897983898543
E39676g	-0.3158555353537181
D16609g	-2.2251001903480443
E02000g	-0.48817461576743826
D12315g	-1.0190614464240522
B04138g	-1.3989298010531463
E19337g	-1.3332519486665042
A06099g	-1.3353670141296656
A08126g	-1.1949655610639147
B24502g	-0.22485259434906563
D00577g	-1.6534243871856442
D25786g	-0.6325884361471537
C15745g	-0.6187560111169977
D14300g	-1.1583373688689678
E20787g	-0.9280854066287002
F13202g	-1.7212028297848165
B09320g	-1.0173839843684964
E36116g	-1.7051504225475949
A03289g	1.0296479491552861
E38034g	-0.3263995827528223
D30459g	-1.4217684970495392
F09155g	-1.0139472831925231
D35258g	-0.8684499952258232
A17511g	-0.9509776947649913
A09524g	-2.0320853162007793
F01430g	-1.1612349635633417
D05440g	-1.0550924746533457
E31947g	-2.6890243034905104
E19060g	-0.5157434115007048
F17706g	-2.176636751782025
C02332g	-0.8783599837817339
F20381g	-0.6916799266978023
C21722g	-1.0183250704913338
A20611g	-1.1412507241237217
D03412g	-0.357176786132248
C24200g	-0.9579679168434551
E12223g	-2.083578831791649
D27844g	-2.290157314876471
B04274g	-0.6840756716164067
F06708g	-1.0794487969090476
F31405g	-0.9044240641852324
A18036g	-1.2238321070188964
E17014g	-1.089556014993285
E41276g	-1.4411831503934682
F33426g	-0.371893334185185
E09835g	-0.837690278151031
C06655g	-1.2253839114653229
F09856g	-1.0169525441402356
F01172g	-0.7300424374064538
A02470g	-1.3530931109134754
D21795g	-1.2327101342309799
A04044g	-1.0804101743833476
B14121g	-0.25001287830123725
D18014g	0.03873632753244197
E17214g	-0.720912204932694
E32568g	-1.477078495941218
C29344g	-0.4691714054868985
D08798g	-1.0161673988860713
D02444g	-0.6292666835441793
E37863g	-1.1470013896980062
F03481g	-0.5962905971719479
B19576g	-0.9258831618882185
C06951g	-1.0239587569924533
E18622g	-0.6943580434470498
F06426g	-1.0157800753354909
F08650g	-0.9930427738939694
D26496g	0.962909662470215
E25585g	-0.6829295057541458
B18012g	-0.42531012703900584
E17613g	-2.2524702633727496
D23622g	-0.8005636777348336
E23781g	-0.7359172198776832
F11878g	0.5314921894686992
B01839g	-2.420310830033037
A01824g	-1.3220431201297425
C10860g	-0.8947462538002755
F20330g	-0.4567858129726847
F27731g	-0.5215518759982705
D05099g	-0.3618253302061172
D15063g	-1.5479876920812314
D25877g	-0.8001570134237636
B14325g	-0.577719893409074
F19058g	-0.9216686326086485
B26350g	-2.120719554211162
B22266g	-0.3011321059184825
C15369g	-0.4526010280249479
E25729g	-0.5102949955932682
B23966g	-1.7669909732402849
A12225g	-2.0479479005643038
A12085g	-1.0840972666643027
D19087g	-0.5210933946245113
E35305g	-1.3596301557611379
F00616g	-0.9039892963426834
D22997g	-0.560770360234779
F27574g	-1.7870761840854357
F20547g	-1.462703015300243
E18025g	-1.064833277692744
B10170g	-0.6068614595702633
D23653g	-0.5854317724069333
D30850g	-0.4708912161427059
B05520g	-1.8598417222151447
B21250g	-0.10288548966549997
D30161g	-1.4718011715276995
D26978g	-0.631645315098144
F29196g	-1.0833774624607126
D00412g	-0.9102710089054278
E31697g	-0.43230065445526544
A01468g	-1.029819853140842
A12688g	-0.9900215118084391
F01532g	-1.0191064965495134
B06726g	-1.3780219991307538
B16504g	-0.06366305003612889
C10271g	-0.9008785940436326
E37040g	-2.0461789488728144
C32294g	-1.669812990652329
F24301g	-0.9430934365257312
C09773g	-0.12093554916550682
E35410g	-1.2665328804834697
F17138g	-1.5232222591734639
C21083g	0.1554814580184052
B21819g	-0.8776947046512659
F34029g	-0.7421665239392926
