gene	FS	Raw p-value	Corrected p-value
E20279g	-1.650174743449319	0.007222798720493138	0.04599813400836929
B03288g	-1.0515979114266956	0.3640856323016435	0.8411676102648865
E09269g	-0.7240737178591139	0.7883302665769888	1.0
E34028g	-1.9530622226841916	0.00022589815570476856	0.0026857594774661424
A00558g	-1.0756207086291587	0.33295218237296226	0.8020278929534118
E33599g	-1.380089760127238	0.06691713561060438	0.2635770955455589
B19602g	-0.8380687403204558	0.6557933163284999	1.0
B26430g	-1.5104033592763997	0.025233071589389356	0.12401752398441994
C29595g	-0.8044573472186444	0.6980640147701457	1.0
D29728g	-0.5690983955504445	0.9105156907205848	1.0
C11271g	-0.7321881622763676	0.7800003201618835	1.0
F33881g	-0.753155692717989	0.7576266413171239	1.0
D15792g	0.06635594539595738	0.9998226284466956	1.0
F09314g	-1.7778707727817142	0.0019039554690898437	0.015890078031643825
C09343g	-1.2849804862007286	0.12186231074196409	0.40768957606592704
F28146g	-3.121988105646553	1.4166346314086474e-14	2.905964987323791e-12
E28259g	-1.171586586632111	0.22118329544135765	0.6221390352171791
F16035g	-2.1234465048788835	2.0203984958302297e-05	0.0003499779172221476
F05205g	-2.912175815162452	3.2060542336391576e-12	3.844798884802652e-10
F27798g	-0.6764102688657225	0.8334115415510092	1.0
F36290g	-0.49366015321561924	0.9461263065775369	1.0
E19757g	-0.4867420671731996	0.9487290735961127	1.0
C10718g	-1.0469173544075854	0.3702653764495694	0.8501380292855357
F15533g	-0.8097470024435226	0.6915668691088231	1.0
A14882g	-1.2594788324988972	0.14089063155688672	0.453631752575767
C11501g	-0.9305618015124414	0.5305914205963738	1.0
C03495g	-0.23180233172080308	0.994238006784572	1.0
C19833g	-0.5359431409771179	0.9278782770787932	1.0
E25317g	-1.7943258779588958	0.001582004198939307	0.01365639283580498
A05795g	-0.8355296531500841	0.6590641784194756	1.0
E36079g	-0.796818669049394	0.7073362023878849	1.0
C19123g	-0.4828499224122982	0.9501488269623738	1.0
E29197g	-1.07046238988878	0.3395497299978322	0.8121479427226455
B00611g	1.4124138559432196	1.000000000000019	1.0
E04790g	-2.200127306140639	6.100802729053837e-06	0.00012547693211866664
F14805g	-1.3531762328465873	0.08004021647772652	0.301407481856946
E14535g	-0.577700542913141	0.9055400305369476	1.0
A12437g	-1.043426801109608	0.37489595708611734	0.8574864980886986
F18920g	-0.36637897983898543	0.9800416594218067	1.0
E39676g	-0.3158555353537181	0.9871835906846166	1.0
D16609g	-2.2251001903480443	4.069370304279292e-06	9.03724829682538e-05
E02000g	-0.48817461576743826	0.948198488620547	1.0
D12315g	-1.0190614464240522	0.40768804918134	0.9015572515586278
B04138g	-1.3989298010531463	0.05876810484448311	0.23921534060717797
E19337g	-1.3332519486665042	0.0909459281166242	0.33038961626036717
A06099g	-1.3353670141296656	0.08973845140730094	0.3270272224029504
A08126g	-1.1949655610639147	0.19761735200746405	0.57543042917377
B24502g	-0.22485259434906563	0.9946255620374922	1.0
D00577g	-1.6534243871856442	0.006997730904555074	0.04478432873645879
D25786g	-0.6325884361471537	0.8689328119885265	1.0
C15745g	-0.6187560111169977	0.8789699212618108	1.0
D14300g	-1.1583373688689678	0.23522247686657785	0.6433541077806927
E20787g	-0.9280854066287002	0.5340434519473019	1.0
F13202g	-1.7212028297848165	0.0035195322831681197	0.026246588320384786
B09320g	-1.0173839843684964	0.40997256278237587	0.9035160098639016
E36116g	-1.7051504225475949	0.004161038149468873	0.030144323768689463
A03289g	1.0296479491552861	0.999999999998156	1.0
E38034g	-0.3263995827528223	0.9859097952106569	1.0
D30459g	-1.4217684970495392	0.049957615742067994	0.2114113000594028
F09155g	-1.0139472831925231	0.41466243545673015	0.9091326544924593
D35258g	-0.8684499952258232	0.6158127304838283	1.0
A17511g	-0.9509776947649913	0.5020683898372649	1.0
A09524g	-2.0320853162007793	7.69006730352707e-05	0.0010958697373124957
F01430g	-1.1612349635633417	0.23211072637052582	0.6377522425302251
D05440g	-1.0550924746533457	0.3594945900894679	0.835498011254443
E31947g	-2.6890243034905104	5.720838487235607e-10	3.92754853938466e-08
E19060g	-0.5157434115007048	0.9371133006977096	1.0
F17706g	-2.176636751782025	8.869380754425731e-06	0.0001741481687172508
C02332g	-0.8783599837817339	0.6024756721388004	1.0
F20381g	-0.6916799266978023	0.8196951304715308	1.0
C21722g	-1.0183250704913338	0.4086905283229581	0.9022210898548452
A20611g	-1.1412507241237217	0.2540321764292237	0.6753686273075712
D03412g	-0.357176786132248	0.9815500642182151	1.0
C24200g	-0.9579679168434551	0.4922925612625259	0.9931212513047074
E12223g	-2.083578831791649	3.664100544596247e-05	0.0005828910968393418
D27844g	-2.290157314876471	1.368885910069952e-06	3.5332667778130054e-05
B04274g	-0.6840756716164067	0.8266122240533393	1.0
F06708g	-1.0794487969090476	0.32808908727366604	0.794734131540779
F31405g	-0.9044240641852324	0.5668608123957685	1.0
A18036g	-1.2238321070188964	0.17071085138807085	0.5224542939026353
E17014g	-1.089556014993285	0.3153901875677222	0.7775036407623006
E41276g	-1.4411831503934682	0.043326236168939436	0.18888591215709336
F33426g	-0.371893334185185	0.9790885674279772	1.0
E09835g	-0.837690278151031	0.6562815998252202	1.0
C06655g	-1.2253839114653229	0.16933408916378995	0.5196689862329695
F09856g	-1.0169525441402356	0.41056063329302656	0.9044506485114115
F01172g	-0.7300424374064538	0.7822211337739994	1.0
A02470g	-1.3530931109134754	0.08008356318550419	0.3014250965866756
D21795g	-1.2327101342309799	0.16293083492732832	0.5055915040838074
A04044g	-1.0804101743833476	0.3268723040653983	0.7937473680831807
B14121g	-0.25001287830123725	0.9931024350655391	1.0
D18014g	0.03873632753244197	0.9997444030131072	1.0
E17214g	-0.720912204932694	0.7915250974263258	1.0
E32568g	-1.477078495941218	0.03294547780312058	0.153999338215285
C29344g	-0.4691714054868985	0.9548912095167499	1.0
D08798g	-1.0161673988860713	0.4116313332794699	0.9056354058463075
D02444g	-0.6292666835441793	0.8713940725432818	1.0
E37863g	-1.1470013896980062	0.24761480429435156	0.6648837063294766
F03481g	-0.5962905971719479	0.8940960951741703	1.0
B19576g	-0.9258831618882185	0.5371111828187873	1.0
C06951g	-1.0239587569924533	0.40103667357074463	0.8934212262029021
E18622g	-0.6943580434470498	0.8172183489081649	1.0
F06426g	-1.0157800753354909	0.41215976812972865	0.9058548976624835
F08650g	-0.9930427738939694	0.44342836660273355	0.9433744862631844
D26496g	0.962909662470215	0.999999999990577	1.0
E25585g	-0.6829295057541458	0.827639971881609	1.0
B18012g	-0.42531012703900584	0.9676999420847272	1.0
E17613g	-2.2524702633727496	2.588888796716608e-06	6.171372529176134e-05
D23622g	-0.8005636777348336	0.702806848688424	1.0
E23781g	-0.7359172198776832	0.7761100166073998	1.0
F11878g	0.5314921894686992	0.9999999015673611	1.0
B01839g	-2.420310830033037	1.3315567108782895e-07	4.552405509340468e-06
A01824g	-1.3220431201297425	0.09754669140827492	0.34752123378770705
C10860g	-0.8947462538002755	0.5801647805439633	1.0
F20330g	-0.4567858129726847	0.9588656176556056	1.0
F27731g	-0.5215518759982705	0.934557490067545	1.0
D05099g	-0.3618253302061172	0.9808006783021406	1.0
D15063g	-1.5479876920812314	0.01841015768211355	0.09668942167574492
D25877g	-0.8001570134237636	0.703300231630735	1.0
B14325g	-0.577719893409074	0.9055286124006872	1.0
F19058g	-0.9216686326086485	0.5429757266481938	1.0
B26350g	-2.120719554211162	2.105612553348724e-05	0.00036152532716637235
B22266g	-0.3011321059184825	0.9887949959925852	1.0
C15369g	-0.4526010280249479	0.9601424730751495	1.0
E25729g	-0.5102949955932682	0.9394393558445229	1.0
B23966g	-1.7669909732402849	0.002148390012238444	0.0174808978553222
A12225g	-2.0479479005643038	6.140215356409457e-05	0.0009092747135072665
A12085g	-1.0840972666643027	0.3222228146401212	0.7873751849905156
D19087g	-0.5210933946245113	0.9347621128071204	1.0
E35305g	-1.3596301557611379	0.07672848576845397	0.29232578033484785
F00616g	-0.9039892963426834	0.5674602289869725	1.0
D22997g	-0.560770360234779	0.9151444977482959	1.0
F27574g	-1.7870761840854357	0.0017171828608257016	0.014628896612170867
F20547g	-1.462703015300243	0.03682603692527522	0.1662182732093343
E18025g	-1.064833277692744	0.34680589351844854	0.8196943420182857
B10170g	-0.6068614595702633	0.88715796729529	1.0
D23653g	-0.5854317724069333	0.9008966552957989	1.0
D30850g	-0.4708912161427059	0.9543156846971198	1.0
B05520g	-1.8598417222151447	0.0007337969273966524	0.0073710657848671465
B21250g	-0.10288548966549997	0.998550919780994	1.0
D30161g	-1.4718011715276995	0.03432896861179272	0.15816068627677443
D26978g	-0.631645315098144	0.8696349045831414	1.0
F29196g	-1.0833774624607126	0.32312834751770175	0.7884656389223995
D00412g	-0.9102710089054278	0.5587851993169245	1.0
E31697g	-0.43230065445526544	0.9658868120088469	1.0
A01468g	-1.029819853140842	0.39311401850771494	0.883834303171592
A12688g	-0.9900215118084391	0.44761433429755126	0.9481396021329924
F01532g	-1.0191064965495134	0.4076267388956196	0.9015572515586278
B06726g	-1.3780219991307538	0.06786231429653553	0.26595612867847884
B16504g	-0.06366305003612889	0.9990828915028939	1.0
C10271g	-0.9008785940436326	0.5717443608481056	1.0
E37040g	-2.0461789488728144	6.297196299276377e-05	0.0009263009635217845
C32294g	-1.669812990652329	0.0059544337137038255	0.03973870787527511
F24301g	-0.9430934365257312	0.5130927377771929	1.0
C09773g	-0.12093554916550682	0.9982218999264565	1.0
E35410g	-1.2665328804834697	0.13543617679307102	0.44043596082686215
F17138g	-1.5232222591734639	0.022699925531803625	0.11475092057095283
C21083g	0.1554814580184052	0.9999486439433548	1.0
B21819g	-0.8776947046512659	0.6033749712705423	1.0
F34029g	-0.7421665239392926	0.7695036441410696	1.0
A05774g	-1.1096470208258349	0.2907956851182023	0.7372446480493363
D25450g	-2.6421172078927566	1.5764143747932434e-09	9.452423116548718e-08
D08693g	-0.5519511155143031	0.9198481070727952	1.0
E01589g	-1.4866088903674788	0.03056351843816552	0.1450929514162608
B09072g	-1.084194299425599	0.3221008253514257	0.7873751849905156
B23798g	-1.1872830527430227	0.2051885947125038	0.5893312806867971
D25337g	-0.19354260184013228	0.9960990170974302	1.0
D05019g	-1.3375190494833955	0.08852214266555887	0.32410995870269205
C20023g	-0.28464592564601865	0.9903875557636304	1.0
A22093g	-2.482391041594982	4.081573345123158e-08	1.6232583788385213e-06
D16118g	-0.7198927154634355	0.7925492361146713	1.0
A04884g	-0.9694502548277579	0.47624727525891924	0.9777054281388663
C08922g	-1.0273263781992326	0.39647933749083725	0.8880767229991849
E38178g	-1.0720052887335207	0.3375710708685476	0.8093096612811428
A05229g	-0.11687382441410973	0.9983013644002621	1.0
A19595g	-1.0863745442845383	0.31936490176210314	0.7834896104280066
B06607g	-0.9639013725194614	0.4839980198554883	0.9858282113335592
